5,"('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 0)","('[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 1)","('[0, 0, 1, 0, 0, 0, 1, 1, 0, 0]', 2)",52,,52
8,"('[0, 0, 0, 1, 1, 1, 0, 1, 0, 0]', 0)","('[0, 1, 1, 1, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 2)",52,,52
7,"('[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 2)",54,52,53
0,"('[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0, 0, 1, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]', 2)",56,52,54
2,"('[0, 0, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 1, 0, 0, 1, 1, 0]', 1)","('[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]', 2)",56,52,54
9,"('[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 1)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",54,58,56
10,"('[0, 1, 1, 0, 0, 0, 0, 0, 1, 1]', 0)","('[0, 0, 0, 0, 1, 0, 1, 0, 0, 1]', 1)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 2)",54,58,56
6,"('[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]', 0)","('[0, 1, 0, 0, 0, 1, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 2)",58,,58
12,"('[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]', 0)","('[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]', 2)",58,,58
16,"('[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]', 1)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 1]', 2)",62,58,60
22,"('[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]', 1)","('[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 2)",62,58,60
24,"('[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]', 2)",62,58,60
13,"('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]', 1)","('[0, 0, 0, 1, 1, 1, 1, 0, 0, 0]', 2)",66,58,62
15,"('[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 0)","('[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]', 2)",62,68,65
21,"('[0, 1, 0, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 2)",62,68,65
23,"('[0, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]', 2)",62,68,65
1,"('[0, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 1)","('[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 2)",68,,68
4,"('[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 1, 0, 1, 0, 1, 1]', 2)",58,82,70
18,"('[0, 0, 1, 1, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 2)",58,82,70
17,"('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 0)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 2)",74,68,71
19,"('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 2)",74,68,71
20,"('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 0, 0, 1, 1, 0, 0, 0, 0, 0]', 2)",74,68,71
11,"('[0, 1, 0, 0, 0, 0, 0, 0, 1, 1]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 2)",66,82,74
14,"('[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 2)",74,82,78
3,"('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]', 2)",82,,82