0,"('[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 0)","('[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]', 1)",6
1,"('[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]', 0)","('[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]', 1)",4
2,"('[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]', 0)","('[0, 1, 0, 1, 1, 0, 1, 0, 1, 0]', 1)",4
3,"('[0, 0, 0, 1, 0, 1, 0, 1, 1, 1]', 0)","('[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]', 1)",5
4,"('[0, 1, 1, 0, 0, 1, 1, 0, 0, 0]', 0)","('[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', 1)",2
5,"('[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 1)",6
6,"('[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]', 0)","('[0, 0, 1, 1, 0, 0, 1, 1, 0, 1]', 1)",5
7,"('[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 0)","('[1, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 1)",
8,"('[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 0)","('[0, 1, 1, 1, 1, 0, 1, 1, 0, 0]', 1)",
9,"('[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]', 0)","('[1, 1, 0, 1, 1, 1, 0, 0, 0, 0]', 1)",
10,"('[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]', 0)","('[1, 1, 1, 0, 1, 0, 1, 0, 0, 0]', 1)",
11,"('[1, 0, 1, 1, 0, 1, 0, 0, 0, 0]', 0)","('[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]', 1)",
12,"('[0, 1, 1, 1, 0, 0, 0, 1, 1, 1]', 0)","('[0, 0, 1, 0, 1, 0, 1, 1, 1, 0]', 1)",
13,"('[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]', 0)","('[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]', 1)",
14,"('[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]', 0)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 1)",
15,"('[1, 0, 1, 1, 1, 1, 1, 0, 1, 1]', 0)","('[1, 1, 1, 1, 0, 0, 0, 1, 0, 0]', 1)",
16,"('[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]', 0)","('[0, 0, 1, 0, 1, 0, 0, 0, 0, 1]', 1)",
17,"('[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]', 0)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 1)",
18,"('[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]', 0)","('[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]', 1)",
19,"('[1, 0, 1, 0, 1, 1, 0, 1, 0, 1]', 0)","('[1, 1, 0, 0, 1, 1, 0, 1, 1, 1]', 1)",