3,"('[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]', 0)","('[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 1)","('[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]', 2)","('[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 3)","('[1, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 4)",4,8,5,7,,,6
23,"('[0, 0, 1, 1, 0, 0, 1, 0, 0, 0]', 0)","('[0, 1, 0, 0, 1, 0, 1, 0, 0, 1]', 1)","('[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 2)","('[1, 1, 0, 1, 1, 0, 0, 0, 0, 0]', 3)","('[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 4)",5,7,6,9,3,8,6.333333333
10,"('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 1)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]', 2)","('[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]', 3)","('[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]', 4)",9,6,5,8,4,,6.4
9,"('[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 0)","('[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 1, 1, 0, 1, 0]', 2)","('[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]', 3)","('[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 4)",6,9,7,4,,,6.5
4,"('[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 1)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 2)","('[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 3)","('[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]', 4)",6,5,7,8,9,,7
11,"('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 2)","('[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 3)","('[0, 1, 0, 0, 0, 1, 0, 1, 0, 1]', 4)",7,9,6,8,5,,7
13,"('[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]', 2)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 3)","('[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]', 4)",8,7,9,5,6,,7
14,"('[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]', 0)","('[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 2)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 3)","('[1, 0, 0, 1, 1, 0, 1, 0, 0, 0]', 4)",6,5,8,9,7,,7
15,"('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]', 1)","('[0, 0, 0, 1, 0, 1, 0, 0, 1, 0]', 2)","('[0, 0, 1, 0, 0, 0, 0, 0, 1, 0]', 3)","('[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 4)",7,5,6,8,9,,7
21,"('[0, 1, 0, 0, 0, 1, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 0, 0, 0, 1, 1, 0, 1, 0, 1]', 2)","('[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]', 3)","('[0, 1, 1, 0, 1, 0, 0, 0, 0, 0]', 4)",8,6,9,7,5,,7
24,"('[0, 1, 0, 0, 0, 0, 1, 0, 1, 1]', 0)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 1)","('[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]', 2)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 3)","('[1, 1, 0, 0, 0, 0, 0, 0, 1, 0]', 4)",6,5,9,8,,,7
1,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]', 0)","('[0, 1, 1, 0, 0, 0, 1, 0, 0, 0]', 1)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 1]', 2)","('[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]', 3)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 4)",9,6,7,8,,,7.5
8,"('[0, 1, 0, 0, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]', 2)","('[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 3)","('[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 4)",9,8,6,7,,,7.5
12,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 1)","('[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]', 2)","('[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]', 3)","('[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]', 4)",9,8,6,7,,,7.5
20,"('[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]', 1)","('[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]', 2)","('[0, 0, 1, 0, 0, 0, 0, 0, 1, 1]', 3)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 4)",8,7,6,9,,,7.5
5,"('[0, 0, 1, 0, 0, 0, 0, 1, 0, 0]', 0)","('[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]', 1)","('[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]', 2)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]', 3)","('[0, 0, 1, 1, 0, 0, 0, 1, 0, 1]', 4)",6,9,14,5,7,8,8.166666667
0,"('[0, 0, 1, 1, 0, 0, 0, 0, 1, 0]', 0)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 0]', 2)","('[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]', 3)","('[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]', 4)",8,7,15,6,5,,8.2
7,"('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 0)","('[0, 0, 0, 1, 0, 0, 1, 0, 0, 0]', 1)","('[0, 1, 0, 0, 1, 1, 0, 0, 0, 1]', 2)","('[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]', 3)","('[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 4)",9,5,14,6,,,8.5
17,"('[1, 0, 1, 0, 1, 0, 0, 0, 0, 0]', 0)","('[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 1)","('[0, 0, 0, 1, 1, 1, 0, 0, 0, 1]', 2)","('[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]', 3)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 4)",9,5,8,16,7,,9
16,"('[0, 0, 0, 0, 1, 1, 0, 0, 0, 1]', 0)","('[0, 0, 0, 0, 1, 1, 0, 0, 0, 0]', 1)","('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 2)","('[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]', 3)","('[0, 0, 1, 0, 1, 0, 1, 1, 0, 0]', 4)",9,16,8,6,7,,9.2
18,"('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 0)","('[0, 0, 1, 1, 0, 0, 0, 1, 0, 0]', 1)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 2)","('[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]', 3)","('[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]', 4)",8,9,5,16,,,9.5
19,"('[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]', 1)","('[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]', 2)","('[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]', 3)","('[0, 0, 1, 0, 0, 0, 1, 0, 1, 0]', 4)",8,17,7,6,,,9.5
6,"('[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]', 0)","('[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]', 1)","('[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]', 2)","('[0, 0, 0, 0, 0, 1, 0, 1, 1, 1]', 3)","('[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]', 4)",8,7,6,18,,,9.75
22,"('[0, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 1)","('[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]', 2)","('[0, 0, 0, 0, 0, 1, 0, 0, 1, 0]', 3)","('[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]', 4)",7,15,9,8,,,9.75
2,"('[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]', 0)","('[0, 1, 0, 0, 1, 1, 0, 0, 0, 0]', 1)","('[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]', 2)","('[0, 1, 1, 0, 0, 0, 0, 0, 0, 1]', 3)","('[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]', 4)",9,17,8,,,,11.33333333