1,"('[1, 0, 1, 1, 1, 0, 0, 0, 0, 0]', 0)","('[0, 1, 0, 1, 0, 0, 1, 1, 0, 0]', 1)","('[0, 1, 0, 0, 1, 0, 0, 0, 1, 1]', 2)","('[1, 1, 0, 1, 0, 1, 0, 0, 0, 0]', 3)","('[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]', 4)",6,4,5,8,,5.75,,,,,,,,,,,
0,"('[0, 0, 1, 0, 1, 0, 0, 1, 1, 0]', 0)","('[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 1)","('[0, 0, 0, 1, 0, 0, 0, 1, 1, 1]', 2)","('[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]', 3)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 4)",7,8,5,4,6,6,,,,,,,,,,,
2,"('[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 0, 1, 1, 0, 0]', 1)","('[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]', 2)","('[0, 0, 1, 0, 0, 1, 1, 0, 1, 0]', 3)","('[0, 1, 0, 0, 0, 1, 1, 1, 0, 0]', 4)",5,8,7,4,6,6,,,,,,,,,,,
4,"('[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]', 0)","('[1, 0, 1, 0, 0, 1, 1, 0, 0, 0]', 1)","('[0, 1, 0, 1, 0, 1, 1, 0, 0, 0]', 2)","('[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]', 3)","('[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]', 4)",5,6,7,8,4,6,,,,,,,,,,,
6,"('[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]', 0)","('[0, 0, 1, 0, 1, 0, 0, 0, 1, 1]', 1)","('[0, 1, 0, 0, 0, 0, 1, 1, 0, 1]', 2)","('[0, 0, 0, 1, 0, 0, 1, 1, 1, 0]', 3)","('[0, 1, 1, 1, 1, 0, 0, 0, 0, 0]', 4)",6,7,8,4,5,6,,,,,,,,,,,
7,"('[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]', 0)","('[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]', 1)","('[0, 1, 0, 1, 0, 1, 0, 0, 0, 1]', 2)","('[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]', 3)","('[1, 1, 0, 0, 1, 0, 0, 0, 0, 1]', 4)",5,8,4,6,7,6,,,,,,,,,,,
9,"('[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]', 0)","('[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]', 1)","('[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]', 2)","('[0, 0, 1, 1, 0, 0, 1, 0, 0, 1]', 3)","('[0, 1, 1, 1, 0, 0, 0, 1, 0, 0]', 4)",6,8,4,7,5,6,,,,,,,,,,,
8,"('[1, 1, 1, 0, 0, 0, 0, 1, 0, 0]', 0)","('[1, 0, 1, 0, 0, 1, 0, 0, 0, 1]', 1)","('[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]', 2)","('[1, 0, 1, 0, 1, 0, 0, 0, 0, 1]', 3)","('[0, 0, 1, 0, 1, 1, 0, 1, 0, 0]', 4)",5,7,6,8,,6.5,,,,,,,,,,,
3,"('[1, 0, 1, 0, 0, 0, 1, 0, 0, 1]', 0)","('[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]', 1)","('[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]', 2)","('[0, 0, 1, 1, 1, 0, 1, 0, 0, 0]', 3)","('[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]', 4)",5,18,7,4,,8.5,,1,0,1,1,1,0,0,0,0,0
5,"('[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]', 0)","('[0, 0, 0, 1, 1, 0, 1, 1, 0, 0]', 1)","('[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]', 2)","('[0, 0, 0, 1, 0, 1, 0, 0, 1, 1]', 3)","('[1, 1, 0, 0, 0, 1, 0, 1, 0, 0]', 4)",16,5,6,8,17,10.4,,0,1,0,1,0,0,1,1,0,0
,,,,,,,,,,,,,0,1,0,0,1,0,0,0,1,1
,,,,,,,,,,,,,1,1,0,1,0,1,0,0,0,0
,,,,,,,,,,,,,1,0,0,1,1,1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0,0,1,0,1,0,0,1,1,0
,,,,,,,,,,,,,1,1,0,0,1,0,1,0,0,0
,,,,,,,,,,,,,0,0,0,1,0,0,0,1,1,1
,,,,,,,,,,,,,1,0,0,1,1,0,0,1,0,0
,,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,1